article_url,title,publish_date,week_label,collect_date,hog_price,hog_price_unit,corn_price,corn_price_unit,soymeal_price,soymeal_price_unit,piglet_price,piglet_price_unit,mixed_feed_price,mixed_feed_price_unit,parsing_method,raw_text_path,raw_html_path,validation_flag,validation_notes
https://www.agri.cn/sj/jcyj/202512/t20251217_8795355.htm,12月第2周畜产品和饲料集贸市场价格情况,2025-12-16,12月第2周,,12.13,元/公斤,2.43,元/公斤,3.29,元/公斤,23.43,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-12-16_t20251217_8795355.txt,data/raw/agri_weekly_articles/article_html/2025-12-16_t20251217_8795355.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251211_8793371.htm,12月第1周畜产品和饲料集贸市场价格情况,2025-12-09,12月第1周,,12.21,元/公斤,2.43,元/公斤,3.3,元/公斤,23.71,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-12-09_t20251211_8793371.txt,data/raw/agri_weekly_articles/article_html/2025-12-09_t20251211_8793371.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251203_8791213.htm,11月第4周畜产品和饲料集贸市场价格情况,2025-12-02,11月第4周,,12.33,元/公斤,2.43,元/公斤,3.29,元/公斤,23.88,元/公斤,3.35,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-12-02_t20251203_8791213.txt,data/raw/agri_weekly_articles/article_html/2025-12-02_t20251203_8791213.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251126_8789245.htm,11月第3周畜产品和饲料集贸市场价格情况,2025-11-25,11月第3周,,12.5,元/公斤,2.43,元/公斤,3.29,元/公斤,24.14,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-11-25_t20251126_8789245.txt,data/raw/agri_weekly_articles/article_html/2025-11-25_t20251126_8789245.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251119_8787426.htm,11月第2周畜产品和饲料集贸市场价格情况,2025-11-18,11月第2周,,12.64,元/公斤,2.43,元/公斤,3.29,元/公斤,24.39,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-11-18_t20251119_8787426.txt,data/raw/agri_weekly_articles/article_html/2025-11-18_t20251119_8787426.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251111_8785034.htm,11月第1周畜产品和饲料集贸市场价格情况,2025-11-11,11月第1周,,12.71,元/公斤,2.44,元/公斤,3.28,元/公斤,24.59,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-11-11_t20251111_8785034.txt,data/raw/agri_weekly_articles/article_html/2025-11-11_t20251111_8785034.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251106_8783689.htm,10月第4周畜产品和饲料集贸市场价格情况,2025-11-04,10月第4周,,12.76,元/公斤,2.45,元/公斤,3.26,元/公斤,24.78,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-11-04_t20251106_8783689.txt,data/raw/agri_weekly_articles/article_html/2025-11-04_t20251106_8783689.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251030_8781691.htm,10月第3周畜产品和饲料集贸市场价格情况,2025-10-28,10月第3周,,12.32,元/公斤,2.46,元/公斤,3.26,元/公斤,25.13,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-10-28_t20251030_8781691.txt,data/raw/agri_weekly_articles/article_html/2025-10-28_t20251030_8781691.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251021_8778429.htm,10月第2周畜产品和饲料集贸市场价格情况,2025-10-21,10月第2周,,12.3,元/公斤,2.46,元/公斤,3.27,元/公斤,26.04,元/公斤,3.37,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-10-21_t20251021_8778429.txt,data/raw/agri_weekly_articles/article_html/2025-10-21_t20251021_8778429.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251014_8776940.htm,10月第1周畜产品和饲料集贸市场价格情况,2025-10-14,10月第1周,,12.9,元/公斤,2.48,元/公斤,3.28,元/公斤,27.23,元/公斤,3.38,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-10-14_t20251014_8776940.txt,data/raw/agri_weekly_articles/article_html/2025-10-14_t20251014_8776940.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251011_8775311.htm,9月第5周畜产品和饲料集贸市场价格情况,2025-10-10,9月第5周,,13.27,元/公斤,2.49,元/公斤,3.28,元/公斤,28.25,元/公斤,3.38,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-10-10_t20251011_8775311.txt,data/raw/agri_weekly_articles/article_html/2025-10-10_t20251011_8775311.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202509/t20250930_8772647.htm,9月第4周畜产品和饲料集贸市场价格情况,2025-09-30,9月第4周,,13.52,元/公斤,2.48,元/公斤,3.28,元/公斤,29.07,元/公斤,3.38,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-09-30_t20250930_8772647.txt,data/raw/agri_weekly_articles/article_html/2025-09-30_t20250930_8772647.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202509/t20250925_8770944.htm,9月第3周畜产品和饲料集贸市场价格情况,2025-09-23,9月第3周,,13.85,元/公斤,2.49,元/公斤,3.3,元/公斤,30.03,元/公斤,3.39,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-09-23_t20250925_8770944.txt,data/raw/agri_weekly_articles/article_html/2025-09-23_t20250925_8770944.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202509/t20250916_8767865.htm,9月第2周畜产品和饲料集贸市场价格情况,2025-09-16,9月第2周,,14.1,元/公斤,2.49,元/公斤,3.31,元/公斤,30.96,元/公斤,3.4,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-09-16_t20250916_8767865.txt,data/raw/agri_weekly_articles/article_html/2025-09-16_t20250916_8767865.html,ok,collect_date_missing
