period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,table_index,indicator_category,indicator_seq,indicator_name_raw,indicator_name_normalized,indicator_unit,indicator_value_raw,indicator_value,mom_raw,mom,yoy_raw,yoy,parsing_source
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,8,2021年3月份县乡集贸市场猪肉零售价格（元/公斤）,2021年3月份县乡集贸市场猪肉零售价格（元/公斤）,元/公斤,45.77,45.77,-10.1%,-0.101,-20.0%,-0.2,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,3,消费,1,2020年居民家庭人均猪肉消费量（公斤/年·人）,2020年居民家庭人均猪肉消费量（公斤/年·人）,公斤/年·人,18.2,18.2,—,,-10.2%,-0.102,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,4,进出口,1,2021年1季度累计进口猪肉（万吨）,2021年1季度累计进口猪肉（万吨）,万吨,116.0,116.0,4.9%,0.049,22.0%,0.22,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,4,进出口,2,2021年1季度累计进口猪杂碎（万吨）,2021年1季度累计进口猪杂碎（万吨）,万吨,31.4,31.4,2.4%,0.024,8.9%,0.089,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,4,进出口,3,2021年1季度累计出口猪肉（万吨）,2021年1季度累计出口猪肉（万吨）,万吨,0.2,0.2,-9.7%,-0.097,-10.4%,-0.104,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,4,进出口,4,2021年1季度累计出口猪杂碎（万吨）,2021年1季度累计出口猪杂碎（万吨）,万吨,1.5,1.5,-13.6%,-0.136,16.9%,0.169,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,1,2021年3月份猪粮比价,2021年3月份猪粮比价,,9.73,9.73,-9.0%,-0.09,-46.2%,-0.462,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,2,2021年3月份散养生猪每头产值（元）,2021年3月份散养生猪每头产值（元）,元,3551.0,3551.0,-7.2%,-0.072,-21.1%,-0.211,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,3,2021年3月份散养生猪每头成本（元）,2021年3月份散养生猪每头成本（元）,元,2971.0,2971.0,-0.2%,-0.002,15.9%,0.159,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,4,2021年3月份散养生猪每头净利润（元）,2021年3月份散养生猪每头净利润（元）,元,579.0,579.0,-31.6%,-0.316,-70.1%,-0.701,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,5,2021年3月份规模养殖生猪每头产值（元）,2021年3月份规模养殖生猪每头产值（元）,元,3686.0,3686.0,-9.7%,-0.097,-19.5%,-0.195,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,6,2021年3月份规模养殖生猪每头成本（元）,2021年3月份规模养殖生猪每头成本（元）,元,2884.0,2884.0,-3.2%,-0.032,18.1%,0.181,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,5,成本收益,7,2021年3月份规模养殖生猪每头净利润（元）,2021年3月份规模养殖生猪每头净利润（元）,元,802.0,802.0,-27.1%,-0.271,-62.5%,-0.625,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,1,生产,1,2021年4月末定点监测能繁母猪存栏,2021年4月末定点监测能繁母猪存栏,,—,,1.1%,0.011,39.9%,0.399,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,1,生产,2,2021年4月份规模以上生猪定点屠宰企业屠宰量（万头）,2021年4月份规模以上生猪定点屠宰企业屠宰量（万头）,万头,1804.53,1804.53,19.6%,0.196,41.2%,0.412,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,1,生产,3,2021年1-4月规模以上生猪定点屠宰企业屠宰量（万头）,2021年1-4月规模以上生猪定点屠宰企业屠宰量（万头）,万头,6689.39,6689.39,—,,39.6%,0.396,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,1,2021年4月份全国二元母猪销售价格（元/公斤）,2021年4月份全国二元母猪销售价格（元/公斤）,元/公斤,71.57,71.57,-4.0%,-0.04,-0.9%,-0.009,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,2,2021年4月份全国仔猪价格（元/公斤）,2021年4月份全国仔猪价格（元/公斤）,元/公斤,87.18,87.18,-6.5%,-0.065,-11.9%,-0.119,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,3,2021年4月份全国生猪出场价格（元/公斤）,2021年4月份全国生猪出场价格（元/公斤）,元/公斤,24.73,24.73,-14.2%,-0.142,-27.4%,-0.274,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,4,2021年4月份全国批发市场白条猪价格（元/公斤）,2021年4月份全国批发市场白条猪价格（元/公斤）,元/公斤,32.28,32.28,-13.7%,-0.137,-28.0%,-0.28,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,5,2021年4月份36个大中城市批发市场白条猪价格（元/公斤）,2021年4月份36个大中城市批发市场白条猪价格（元/公斤）,元/公斤,31.55,31.55,-15.1%,-0.151,-30.3%,-0.303,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,6,2021年4月份36个大中城市猪肉（精瘦肉）零售价格（元/公斤）,2021年4月份36个大中城市猪肉（精瘦肉）零售价格（元/公斤）,元/公斤,48.4,48.4,-10.0%,-0.1,-21.2%,-0.212,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,7,2021年4月份36个大中城市猪肉（后腿肉）零售价格（元/公斤）,2021年4月份36个大中城市猪肉（后腿肉）零售价格（元/公斤）,元/公斤,52.55,52.55,-9.2%,-0.092,-21.5%,-0.215,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,2,价格,8,2021年4月份县乡集贸市场猪肉零售价格（元/公斤）,2021年4月份县乡集贸市场猪肉零售价格（元/公斤）,元/公斤,39.54,39.54,-13.6%,-0.136,-25.3%,-0.253,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,1,2021年4月进口猪肉（万吨）,2021年4月进口猪肉（万吨）,万吨,43.25,43.25,-5.6%,-0.056,8.7%,0.087,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,2,2021年4月进口猪杂碎（万吨）,2021年4月进口猪杂碎（万吨）,万吨,11.53,11.53,-4.1%,-0.041,-14.6%,-0.146,html_table
