search_keyword,search_page_no,article_id,article_url,title,publish_datetime,province,product_name,avg_price,avg_price_unit,last_year_price,last_year_price_unit,mom_pct,yoy_pct,raw_html_path,parsing_method,validation_flag,validation_notes
河南省瘦肉型肉猪(110kg左右)价格,1,515509,https://www.soozhu.com/article/515509/,2026.3.13河南省瘦肉型肉猪(110kg左右)价格,2026-03-13 10:30,河南省,瘦肉型肉猪(110kg左右),9.95,元/公斤,14.34,元/公斤,-0.0031,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-13_10-30_515509.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,1,515468,https://www.soozhu.com/article/515468/,2026.3.12河南省瘦肉型肉猪(110kg左右)价格,2026-03-12 10:30,河南省,瘦肉型肉猪(110kg左右),10.09,元/公斤,14.42,元/公斤,-0.003,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-12_10-30_515468.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,1,515429,https://www.soozhu.com/article/515429/,2026.3.11河南省瘦肉型肉猪(110kg左右)价格,2026-03-11 10:30,河南省,瘦肉型肉猪(110kg左右),10.05,元/公斤,14.35,元/公斤,-0.003,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-11_10-30_515429.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,1,515391,https://www.soozhu.com/article/515391/,2026.3.10河南省瘦肉型肉猪(110kg左右)价格,2026-03-10 10:30,河南省,瘦肉型肉猪(110kg左右),10.22,元/公斤,14.37,元/公斤,-0.0029,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-10_10-30_515391.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,1,515298,https://www.soozhu.com/article/515298/,2026.3.6河南省瘦肉型肉猪(110kg左右)价格,2026-03-06 10:30,河南省,瘦肉型肉猪(110kg左右),10.38,元/公斤,14.25,元/公斤,-0.0027,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-06_10-30_515298.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,515255,https://www.soozhu.com/article/515255/,2026.3.5河南省瘦肉型肉猪(110kg左右)价格,2026-03-05 10:30,河南省,瘦肉型肉猪(110kg左右),10.37,元/公斤,14.31,元/公斤,-0.0028,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-05_10-30_515255.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,515221,https://www.soozhu.com/article/515221/,2026.3.4河南省瘦肉型肉猪(110kg左右)价格,2026-03-04 10:30,河南省,瘦肉型肉猪(110kg左右),10.2,元/公斤,14.46,元/公斤,-0.0029,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-04_10-30_515221.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,515177,https://www.soozhu.com/article/515177/,2026.3.3河南省瘦肉型肉猪(110kg左右)价格,2026-03-03 10:30,河南省,瘦肉型肉猪(110kg左右),10.4,元/公斤,14.53,元/公斤,-0.0028,,data/raw/soozhu_henan_hog_daily/article_html/2026-03-03_10-30_515177.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,515100,https://www.soozhu.com/article/515100/,2026.2.28河南省瘦肉型肉猪(110kg左右)价格,2026-02-28 10:30,河南省,瘦肉型肉猪(110kg左右),10.75,元/公斤,14.39,元/公斤,-0.0025,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-28_10-30_515100.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,515070,https://www.soozhu.com/article/515070/,2026.2.27河南省瘦肉型肉猪(110kg左右)价格,2026-02-27 10:30,河南省,瘦肉型肉猪(110kg左右),10.9,元/公斤,14.47,元/公斤,-0.0025,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-27_10-30_515070.html,html_text,ok,yoy_pct_not_displayed_on_page
